table_id,row_kind,slice,actual_cost_estimate_cny,actual_first_provider_attempt_count,actual_total_tokens,completion_rate,completion_rate_bootstrap_standard_error,completion_rate_bootstrap_variance,completion_rate_ci95_high,completion_rate_ci95_low,end_to_end_verified_success_rate,end_to_end_verified_success_rate_bootstrap_standard_error,end_to_end_verified_success_rate_bootstrap_variance,end_to_end_verified_success_rate_ci95_high,end_to_end_verified_success_rate_ci95_low,failure_origin_counts,failure_root_count,final_result_root_count,first_attempt_call_coverage,first_attempt_call_coverage_bootstrap_standard_error,first_attempt_call_coverage_bootstrap_variance,first_attempt_call_coverage_ci95_high,first_attempt_call_coverage_ci95_low,first_attempt_checkable_candidate_count,first_attempt_explicitly_rejected_by_verifier_count,first_attempt_nonpass_rate,first_attempt_nonpass_rate_bootstrap_standard_error,first_attempt_nonpass_rate_bootstrap_variance,first_attempt_nonpass_rate_ci95_high,first_attempt_nonpass_rate_ci95_low,first_attempt_parse_schema_unusable_count,first_attempt_provider_transport_failure_count,first_attempt_verification_checker_rejection_count,first_attempt_verification_rejection_rate,first_attempt_verification_rejection_rate_bootstrap_standard_error,first_attempt_verification_rejection_rate_bootstrap_variance,first_attempt_verification_rejection_rate_ci95_high,first_attempt_verification_rejection_rate_ci95_low,first_attempt_without_verifier_accepted_candidate_count,incorrect_final_failure_count,infra_invalid_failure_count,infrastructure_invalid_root_count,metric_metadata,missing_reasons,model_wall_clock_max_ms,model_wall_clock_median_ms,model_wall_clock_min_ms,model_wall_clock_range_ms,model_wall_clock_sample_stddev_ms,no_final_failure_count,not_applicable_reasons,planned_first_attempt_ai_unit_count,preregistered_root_count,repeat0_wall_clock_ms,repeat1_wall_clock_ms,repeat2_wall_clock_ms,repeat_wall_clock_ms,root_actual_cost_estimate_cny,root_actual_cost_estimate_cny_bootstrap_standard_error,root_actual_cost_estimate_cny_bootstrap_variance,root_actual_cost_estimate_cny_ci95_high,root_actual_cost_estimate_cny_ci95_low,root_actual_cost_estimate_cny_iqr,root_actual_cost_estimate_cny_median,root_actual_cost_estimate_cny_median_bootstrap_standard_error,root_actual_cost_estimate_cny_median_bootstrap_variance,root_actual_cost_estimate_cny_median_ci95_high,root_actual_cost_estimate_cny_median_ci95_low,root_actual_cost_estimate_cny_q25,root_actual_cost_estimate_cny_q75,root_actual_cost_estimate_cny_sample_stddev,root_actual_cost_estimate_cny_sample_variance,root_actual_total_tokens,root_actual_total_tokens_bootstrap_standard_error,root_actual_total_tokens_bootstrap_variance,root_actual_total_tokens_ci95_high,root_actual_total_tokens_ci95_low,root_actual_total_tokens_iqr,root_actual_total_tokens_median,root_actual_total_tokens_median_bootstrap_standard_error,root_actual_total_tokens_median_bootstrap_variance,root_actual_total_tokens_median_ci95_high,root_actual_total_tokens_median_ci95_low,root_actual_total_tokens_q25,root_actual_total_tokens_q75,root_actual_total_tokens_sample_stddev,root_actual_total_tokens_sample_variance,scientifically_valid_root_count,table_metadata,verified_correct_root_count
exp5,model,"{""configured_model"": ""MiniMaxAI/MiniMax-M2.5""}",,267,,0.05405405405405406,0.022112374831614264,0.000488957120693808,0.08108108108108109,0.0,0.05405405405405406,0.022112374831614264,0.000488957120693808,0.08108108108108109,0.0,"{""model_verification_exhausted"": 5, ""provider_transport_exhausted"": 30}",35,2,0.9401408450704225,0.004046894164070746,1.6377352375189865e-05,0.9471830985915493,0.9330985915492958,48,6,,,,,,0,198,6,0.125,0.028760521146131462,0.000827167576597075,0.18181818181818182,0.06666666666666667,,0,0,0,"{""completion_rate"": {""bootstrap_replicates"": 10000, ""bootstrap_seed"": 20260820, ""bootstrap_standard_error"": 0.022112374831614264, ""bootstrap_variance"": 0.000488957120693808, ""case_cluster_count"": 37, ""ci95_high"": 0.08108108108108109, ""ci95_low"": 0.0, ""ci_level"": 0.95, ""ci_method"": ""stratified_case_cluster_percentile_bootstrap"", ""missing_reason"": null, ""valid_bootstrap_replicate_count"": 10000}, ""end_to_end_verified_success_rate"": {""bootstrap_replicates"": 10000, ""bootstrap_seed"": 20260820, ""bootstrap_standard_error"": 0.022112374831614264, ""bootstrap_variance"": 0.000488957120693808, ""case_cluster_count"": 37, ""ci95_high"": 0.08108108108108109, ""ci95_low"": 0.0, ""ci_level"": 0.95, ""ci_method"": ""stratified_case_cluster_percentile_bootstrap"", ""missing_reason"": null, ""valid_bootstrap_replicate_count"": 10000}, ""first_attempt_call_coverage"": {""bootstrap_replicates"": 10000, ""bootstrap_seed"": 20260820, ""bootstrap_standard_error"": 0.004046894164070746, ""bootstrap_variance"": 1.6377352375189865e-05, ""case_cluster_count"": 37, ""ci95_high"": 0.9471830985915493, ""ci95_low"": 0.9330985915492958, ""ci_level"": 0.95, ""ci_method"": ""stratified_case_cluster_percentile_bootstrap"", ""missing_reason"": null, ""valid_bootstrap_replicate_count"": 10000}, ""first_attempt_nonpass_rate"": {""bootstrap_replicates"": 10000, ""bootstrap_seed"": 20260820, ""bootstrap_standard_error"": null, ""bootstrap_variance"": null, ""case_cluster_count"": 0, ""ci95_high"": null, ""ci95_low"": null, ""ci_level"": 0.95, ""ci_method"": ""stratified_case_cluster_percentile_bootstrap"", ""missing_reason"": ""not_applicable_or_unavailable"", ""quantile_method"": ""hyndman_fan_type_7"", ""valid_bootstrap_replicate_count"": 0}, ""first_attempt_verification_rejection_rate"": {""bootstrap_replicates"": 10000, ""bootstrap_seed"": 20260820, ""bootstrap_standard_error"": 0.028760521146131462, ""bootstrap_variance"": 0.000827167576597075, ""case_cluster_count"": 14, ""ci95_high"": 0.18181818181818182, ""ci95_low"": 0.06666666666666667, ""ci_level"": 0.95, ""ci_method"": ""stratified_case_cluster_percentile_bootstrap"", ""missing_reason"": null, ""valid_bootstrap_replicate_count"": 10000}, ""root_actual_cost_estimate_cny"": {""bootstrap_replicates"": 10000, ""bootstrap_seed"": 20260820, ""bootstrap_standard_error"": 0.006571511590492674, ""bootstrap_variance"": 4.3184764583979556e-05, ""case_cluster_count"": 37, ""ci95_high"": 0.07173600000000001, ""ci95_low"": 0.043642200000000006, ""ci_level"": 0.95, ""ci_method"": ""stratified_case_cluster_percentile_bootstrap"", ""iqr"": 0.02111655000000001, ""median"": 0.05559540000000001, ""missing_reason"": null, ""q25"": 0.0485478, ""q75"": 0.06966435000000001, ""sample_stddev"": 0.01674632249779037, ""sample_variance"": 0.0002804393171999999, ""valid_bootstrap_replicate_count"": 10000}, ""root_actual_total_tokens"": {""bootstrap_replicates"": 10000, ""bootstrap_seed"": 20260820, ""bootstrap_standard_error"": 1309.7602309697807, ""bootstrap_variance"": 1715471.862630013, ""case_cluster_count"": 37, ""ci95_high"": 11987.0, ""ci95_low"": 6802.0, ""ci_level"": 0.95, ""ci_method"": ""stratified_case_cluster_percentile_bootstrap"", ""iqr"": 4105.0, ""median"": 8792.0, ""missing_reason"": null, ""q25"": 7633.5, ""q75"": 11738.5, ""sample_stddev"": 2436.9092055697265, ""sample_variance"": 5938526.476190477, ""valid_bootstrap_replicate_count"": 10000}}","{""actual_cost_estimate_cny"": ""usage_missing"", ""actual_total_tokens"": ""usage_missing"", ""model_wall_clock_sample_stddev_ms"": ""insufficient_observations_for_sample_variance""}",37318532,37318532,37318532,0,,35,"{""first_attempt_nonpass_rate"": ""not_applicable_or_unavailable"", ""first_attempt_without_verifier_accepted_candidate_count"": ""not_applicable_or_unavailable"", ""repeat1_wall_clock_ms"": ""not_applicable_or_unavailable"", ""repeat2_wall_clock_ms"": ""not_applicable_or_unavailable""}",284,37,37318532,,,[37318532],0.05559540000000001,0.006571511590492674,4.3184764583979556e-05,0.07173600000000001,0.043642200000000006,0.02111655000000001,0.05559540000000001,0.006571511590492674,4.3184764583979556e-05,0.07173600000000001,0.043642200000000006,0.0485478,0.06966435000000001,0.01674632249779037,0.0002804393171999999,8792.0,1309.7602309697807,1715471.862630013,11987.0,6802.0,4105.0,8792.0,1309.7602309697807,1715471.862630013,11987.0,6802.0,7633.5,11738.5,2436.9092055697265,5938526.476190477,37,"{""bootstrap_replicates"": 10000, ""bootstrap_seed"": 20260820, ""ci_level"": 0.95, ""ci_method"": ""stratified_case_cluster_percentile_bootstrap"", ""quantile_method"": ""hyndman_fan_type_7""}",2
exp5,model,"{""configured_model"": ""Qwen/Qwen3-14B""}",,265,,0.02702702702702703,0.022112374831614264,0.000488957120693808,0.08108108108108109,0.0,0.02702702702702703,0.022112374831614264,0.000488957120693808,0.08108108108108109,0.0,"{""model_parse_exhausted"": 18, ""model_verification_exhausted"": 17, ""provider_transport_exhausted"": 1}",36,1,0.9330985915492958,0.007587336066756883,5.7567668589909815e-05,0.9471830985915493,0.9154929577464789,97,20,,,,,,66,4,20,0.20618556701030927,0.024373190262622035,0.0005940524035779736,0.2553191489361702,0.16037735849056603,,0,0,0,"{""completion_rate"": {""bootstrap_replicates"": 10000, ""bootstrap_seed"": 20260820, ""bootstrap_standard_error"": 0.022112374831614264, ""bootstrap_variance"": 0.000488957120693808, ""case_cluster_count"": 37, ""ci95_high"": 0.08108108108108109, ""ci95_low"": 0.0, ""ci_level"": 0.95, ""ci_method"": ""stratified_case_cluster_percentile_bootstrap"", ""missing_reason"": null, ""valid_bootstrap_replicate_count"": 10000}, ""end_to_end_verified_success_rate"": {""bootstrap_replicates"": 10000, ""bootstrap_seed"": 20260820, ""bootstrap_standard_error"": 0.022112374831614264, ""bootstrap_variance"": 0.000488957120693808, ""case_cluster_count"": 37, ""ci95_high"": 0.08108108108108109, ""ci95_low"": 0.0, ""ci_level"": 0.95, ""ci_method"": ""stratified_case_cluster_percentile_bootstrap"", ""missing_reason"": null, ""valid_bootstrap_replicate_count"": 10000}, ""first_attempt_call_coverage"": {""bootstrap_replicates"": 10000, ""bootstrap_seed"": 20260820, ""bootstrap_standard_error"": 0.007587336066756883, ""bootstrap_variance"": 5.7567668589909815e-05, ""case_cluster_count"": 37, ""ci95_high"": 0.9471830985915493, ""ci95_low"": 0.9154929577464789, ""ci_level"": 0.95, ""ci_method"": ""stratified_case_cluster_percentile_bootstrap"", ""missing_reason"": null, ""valid_bootstrap_replicate_count"": 10000}, ""first_attempt_nonpass_rate"": {""bootstrap_replicates"": 10000, ""bootstrap_seed"": 20260820, ""bootstrap_standard_error"": null, ""bootstrap_variance"": null, ""case_cluster_count"": 0, ""ci95_high"": null, ""ci95_low"": null, ""ci_level"": 0.95, ""ci_method"": ""stratified_case_cluster_percentile_bootstrap"", ""missing_reason"": ""not_applicable_or_unavailable"", ""quantile_method"": ""hyndman_fan_type_7"", ""valid_bootstrap_replicate_count"": 0}, ""first_attempt_verification_rejection_rate"": {""bootstrap_replicates"": 10000, ""bootstrap_seed"": 20260820, ""bootstrap_standard_error"": 0.024373190262622035, ""bootstrap_variance"": 0.0005940524035779736, ""case_cluster_count"": 31, ""ci95_high"": 0.2553191489361702, ""ci95_low"": 0.16037735849056603, ""ci_level"": 0.95, ""ci_method"": ""stratified_case_cluster_percentile_bootstrap"", ""missing_reason"": null, ""valid_bootstrap_replicate_count"": 10000}, ""root_actual_cost_estimate_cny"": {""bootstrap_replicates"": 10000, ""bootstrap_seed"": 20260820, ""bootstrap_standard_error"": 0.0015498797443052668, ""bootstrap_variance"": 2.4021272218077592e-06, ""case_cluster_count"": 37, ""ci95_high"": 0.060123, ""ci95_low"": 0.052926, ""ci_level"": 0.95, ""ci_method"": ""stratified_case_cluster_percentile_bootstrap"", ""iqr"": 0.0560985, ""median"": 0.055026, ""missing_reason"": null, ""q25"": 0.0053955, ""q75"": 0.061494, ""sample_stddev"": 0.02654078316155344, ""sample_variance"": 0.0007044131708285985, ""valid_bootstrap_replicate_count"": 10000}, ""root_actual_total_tokens"": {""bootstrap_replicates"": 10000, ""bootstrap_seed"": 20260820, ""bootstrap_standard_error"": 772.1025556526766, ""bootstrap_variance"": 596142.3564453946, ""case_cluster_count"": 37, ""ci95_high"": 35891.0, ""ci95_low"": 32274.0, ""ci_level"": 0.95, ""ci_method"": ""stratified_case_cluster_percentile_bootstrap"", ""iqr"": 30097.0, ""median"": 33276.0, ""missing_reason"": null, ""q25"": 6615.0, ""q75"": 36712.0, ""sample_stddev"": 14659.027905249855, ""sample_variance"": 214887099.12689394, ""valid_bootstrap_replicate_count"": 10000}}","{""actual_cost_estimate_cny"": ""usage_missing"", ""actual_total_tokens"": ""usage_missing"", ""model_wall_clock_sample_stddev_ms"": ""insufficient_observations_for_sample_variance""}",10068418,10068418,10068418,0,,36,"{""first_attempt_nonpass_rate"": ""not_applicable_or_unavailable"", ""first_attempt_without_verifier_accepted_candidate_count"": ""not_applicable_or_unavailable"", ""repeat1_wall_clock_ms"": ""not_applicable_or_unavailable"", ""repeat2_wall_clock_ms"": ""not_applicable_or_unavailable""}",284,37,10068418,,,[10068418],0.055026,0.0015498797443052668,2.4021272218077592e-06,0.060123,0.052926,0.0560985,0.055026,0.0015498797443052668,2.4021272218077592e-06,0.060123,0.052926,0.0053955,0.061494,0.02654078316155344,0.0007044131708285985,33276.0,772.1025556526766,596142.3564453946,35891.0,32274.0,30097.0,33276.0,772.1025556526766,596142.3564453946,35891.0,32274.0,6615.0,36712.0,14659.027905249855,214887099.12689394,37,"{""bootstrap_replicates"": 10000, ""bootstrap_seed"": 20260820, ""ci_level"": 0.95, ""ci_method"": ""stratified_case_cluster_percentile_bootstrap"", ""quantile_method"": ""hyndman_fan_type_7""}",1
exp5,model,"{""configured_model"": ""zai-org/GLM-5.2""}",,276,,,,,,,,,,,,"{""provider_transport_exhausted"": 27, ""resume_state_invalid"": 1}",28,9,,,,,,67,0,,,,,,0,165,0,,,,,,,0,1,1,"{""completion_rate"": {""bootstrap_replicates"": 10000, ""bootstrap_seed"": 20260820, ""bootstrap_standard_error"": null, ""bootstrap_variance"": null, ""case_cluster_count"": 0, ""ci95_high"": null, ""ci95_low"": null, ""ci_level"": 0.95, ""ci_method"": ""stratified_case_cluster_percentile_bootstrap"", ""missing_reason"": ""infrastructure_invalid_root_present"", ""quantile_method"": ""hyndman_fan_type_7"", ""valid_bootstrap_replicate_count"": 0}, ""end_to_end_verified_success_rate"": {""bootstrap_replicates"": 10000, ""bootstrap_seed"": 20260820, ""bootstrap_standard_error"": null, ""bootstrap_variance"": null, ""case_cluster_count"": 0, ""ci95_high"": null, ""ci95_low"": null, ""ci_level"": 0.95, ""ci_method"": ""stratified_case_cluster_percentile_bootstrap"", ""missing_reason"": ""infrastructure_invalid_root_present"", ""quantile_method"": ""hyndman_fan_type_7"", ""valid_bootstrap_replicate_count"": 0}, ""first_attempt_call_coverage"": {""bootstrap_replicates"": 10000, ""bootstrap_seed"": 20260820, ""bootstrap_standard_error"": null, ""bootstrap_variance"": null, ""case_cluster_count"": 0, ""ci95_high"": null, ""ci95_low"": null, ""ci_level"": 0.95, ""ci_method"": ""stratified_case_cluster_percentile_bootstrap"", ""missing_reason"": ""infrastructure_invalid_root_present"", ""quantile_method"": ""hyndman_fan_type_7"", ""valid_bootstrap_replicate_count"": 0}, ""first_attempt_nonpass_rate"": {""bootstrap_replicates"": 10000, ""bootstrap_seed"": 20260820, ""bootstrap_standard_error"": null, ""bootstrap_variance"": null, ""case_cluster_count"": 0, ""ci95_high"": null, ""ci95_low"": null, ""ci_level"": 0.95, ""ci_method"": ""stratified_case_cluster_percentile_bootstrap"", ""missing_reason"": ""not_applicable_or_unavailable"", ""quantile_method"": ""hyndman_fan_type_7"", ""valid_bootstrap_replicate_count"": 0}, ""first_attempt_verification_rejection_rate"": {""bootstrap_replicates"": 10000, ""bootstrap_seed"": 20260820, ""bootstrap_standard_error"": null, ""bootstrap_variance"": null, ""case_cluster_count"": 0, ""ci95_high"": null, ""ci95_low"": null, ""ci_level"": 0.95, ""ci_method"": ""stratified_case_cluster_percentile_bootstrap"", ""missing_reason"": ""infrastructure_invalid_root_present"", ""quantile_method"": ""hyndman_fan_type_7"", ""valid_bootstrap_replicate_count"": 0}, ""root_actual_cost_estimate_cny"": {""bootstrap_replicates"": 10000, ""bootstrap_seed"": 20260820, ""bootstrap_standard_error"": 0.021070688824587774, ""bootstrap_variance"": 0.0004439739275426081, ""case_cluster_count"": 37, ""ci95_high"": 0.18215599999999998, ""ci95_low"": 0.106012, ""ci_level"": 0.95, ""ci_method"": ""stratified_case_cluster_percentile_bootstrap"", ""iqr"": 0.16829000000000002, ""median"": 0.140586, ""missing_reason"": null, ""q25"": 0.106488, ""q75"": 0.274778, ""sample_stddev"": 0.11716595880601727, ""sample_variance"": 0.013727861902933337, ""valid_bootstrap_replicate_count"": 10000}, ""root_actual_total_tokens"": {""bootstrap_replicates"": 10000, ""bootstrap_seed"": 20260820, ""bootstrap_standard_error"": 792.1412066926019, ""bootstrap_variance"": 627487.6913404115, ""case_cluster_count"": 37, ""ci95_high"": 9912.0, ""ci95_low"": 7114.0, ""ci_level"": 0.95, ""ci_method"": ""stratified_case_cluster_percentile_bootstrap"", ""iqr"": 6423.5, ""median"": 8242.0, ""missing_reason"": null, ""q25"": 6973.75, ""q75"": 13397.25, ""sample_stddev"": 4978.654683301058, ""sample_variance"": 24787002.455555554, ""valid_bootstrap_replicate_count"": 10000}}","{""actual_cost_estimate_cny"": ""usage_missing"", ""actual_total_tokens"": ""usage_missing"", ""completion_rate"": ""infrastructure_invalid_root_present"", ""end_to_end_verified_success_rate"": ""infrastructure_invalid_root_present"", ""first_attempt_call_coverage"": ""infrastructure_invalid_root_present"", ""first_attempt_verification_rejection_rate"": ""infrastructure_invalid_root_present"", ""model_wall_clock_max_ms"": ""missing_repeat_wall_clock"", ""model_wall_clock_median_ms"": ""missing_repeat_wall_clock"", ""model_wall_clock_min_ms"": ""missing_repeat_wall_clock"", ""model_wall_clock_range_ms"": ""missing_repeat_wall_clock"", ""model_wall_clock_sample_stddev_ms"": ""missing_repeat_wall_clock"", ""repeat0_wall_clock_ms"": ""missing_repeat_wall_clock""}",,,,,,27,"{""first_attempt_nonpass_rate"": ""not_applicable_or_unavailable"", ""first_attempt_without_verifier_accepted_candidate_count"": ""not_applicable_or_unavailable"", ""repeat1_wall_clock_ms"": ""not_applicable_or_unavailable"", ""repeat2_wall_clock_ms"": ""not_applicable_or_unavailable""}",284,37,,,,[null],0.140586,0.021070688824587774,0.0004439739275426081,0.18215599999999998,0.106012,0.16829000000000002,0.140586,0.021070688824587774,0.0004439739275426081,0.18215599999999998,0.106012,0.106488,0.274778,0.11716595880601727,0.013727861902933337,8242.0,792.1412066926019,627487.6913404115,9912.0,7114.0,6423.5,8242.0,792.1412066926019,627487.6913404115,9912.0,7114.0,6973.75,13397.25,4978.654683301058,24787002.455555554,36,"{""bootstrap_replicates"": 10000, ""bootstrap_seed"": 20260820, ""ci_level"": 0.95, ""ci_method"": ""stratified_case_cluster_percentile_bootstrap"", ""quantile_method"": ""hyndman_fan_type_7""}",9
